State,Post_2005,Post_2006,Post_2007,Post_2008,Post_2009,Post_2010,Post_2011,Post_2012,Post_2013,Post_2014,Post_2015,Post_2016,Post_2017,Post_2018,Post_2019,Post_2020,Post_2021,Post_2022
Andhra Pradesh_Anantapur,7.335909091,9.532727273,6.940227273,5.965227273,6.210909091,5.634318182,7.462954545,8.520909091,6.925238095,8.83075,7.975897436,9.937948718,7.752972973,10.20705882,7.668823529,9.468172867,7.901114139,9.817557355
Andhra Pradesh_Chittoor,6.366756757,6.55027027,6.00972973,7.142702703,8.031621622,6.738823529,6.714705882,6.374705882,6.182352941,8.260294118,7.591515152,6.59137931,5.340833333,8.992608696,7.654545455,7.922775543,7.11231954,8.913149685
Andhra Pradesh_East Godavari,2.818285714,2.977777778,2.796111111,3.517777778,3.136666667,2.512777778,3.74,2.927222222,3.226571429,3.681764706,3.735588235,3.079375,2.601333333,3.013448276,2.773928571,2.982424767,2.881881396,3.109658271
Andhra Pradesh_Guntur,1.930285714,2.398571429,2.121142857,2.29,3.054285714,1.729428571,2.991818182,2.702727273,2.223125,3.398064516,4.813870968,3.649655172,3.919310345,5.088275862,3.209259259,4.561311299,3.402033387,4.597115002
Andhra Pradesh_Krishna,3.138,3.4468,3.1512,3.0396,4.5488,3.0204,4.0476,3.0556,3.3124,3.436,4.4732,3.810869565,4.913181818,4.614347826,4.122608696,4.455851606,3.777536858,4.465922494
Andhra Pradesh_Kurnool,3.703333333,4.88,2.858974359,4.324102564,3.561794872,3.306315789,4.785263158,5.826578947,5.109210526,5.037142857,6.6025,5.449375,3.797333333,6.280689655,3.794137931,5.689598827,4.321257025,5.585053063
Andhra Pradesh_Prakasam,2.748787879,3.642424242,3.007575758,4.157272727,4.172727273,2.699375,3.92875,3.733125,3.220625,4.886774194,5.96483871,5.650333333,5.221034483,5.741538462,4.9972,4.783470762,4.806698603,4.941252353
Andhra Pradesh_Nellore,3.169714286,3.749428571,2.157142857,4.164571429,5.27,2.608823529,3.245294118,4.273235294,3.51375,5.72125,4.193125,4.994516129,4.605517241,6.626153846,4.577692308,4.494681232,4.877901256,6.080999952
Andhra Pradesh_Srikakulam,1.5444,2.5156,1.9724,2.8676,3.2376,1.556666667,3.0072,1.124,1.8904,2.612,3.1128,2.693043478,2.30173913,2.137727273,1.510454545,2.418445469,2.195251662,2.217448536
Andhra Pradesh_Visakhapatnam,1.942571429,2.755714286,2.376285714,3.466857143,4.192857143,1.683142857,3.507941176,1.993823529,1.997058824,2.448823529,2.62030303,2.836875,3.0996875,3.340344828,2.082413793,3.508387005,3.03736105,3.463811883
Andhra Pradesh_Vizianagaram,1.7575,2.2345,2.1685,2.9565,3.1085,1.583,2.6425,1.812,1.6745,2.1885,2.7835,3.0655,2.423888889,3.530588235,2.217058824,3.166660301,2.997662383,3.158384144
Andhra Pradesh_West Godavari,5.400740741,5.99037037,5.23037037,5.944814815,7.943333333,4.996666667,6.64,4.74,4.055,6.543461538,5.659615385,6.1408,6.834347826,8.264,5.499473684,7.536663449,6.629053143,7.436919342
Andhra Pradesh_Y.S.R.,5.155555556,7.488518519,2.676666667,5.449259259,5.87,4.752592593,5.498333333,8.136086957,6.221304348,10.25761905,10.03238095,10.81736842,6.956315789,9.641111111,8.665625,8.856494147,8.269869776,9.106101763
Arunachal Pradesh_Changlang,3.125,3.205,3.105,3.7025,3.005,3.755,3.765,3.195,3.17,3.2725,3.1675,4.335,2.71,4.1075,3.225,3.867799794,3.538547727,3.690495925
Arunachal Pradesh_East Siang,3.51,3.4,3.5,5.525,4.615,6.04,6.22,5.675,7,6.67,4.8,3.545,6.555,3.8,6.75,4.548771552,4.765753596,4.616349475
Arunachal Pradesh_Lohit,2.99,2.43,2.235,1.66,2.825,3.345,3.17,2.565,2.21,2.32,2.29,3,3.27,2.99,4.2,2.986988939,3.696875904,2.974105996
Arunachal Pradesh_Tirap,3.623333333,5.69,5.976666667,3.746666667,5.406666667,5.17,5.14,4.72,3.37,4.286666667,4.323333333,2.84,3.753333333,5.82,5.113333333,5.205039157,5.018510908,5.129304271
Assam_Baksa,1.1925,1.4875,2.056666667,1.763333333,2.296666667,2.135,2.45,2.4725,1.4125,1.8625,0.76,1.92,1.835,2.395,2.64,1.925310375,2.468261437,2.14582662
