,State,Post_2005,Post_2006,Post_2007,Post_2008,Post_2009,Post_2010,Post_2011,Post_2012,Post_2013,Post_2014,Post_2015,Post_2016,Post_2017,Post_2018,Post_2019,Post_2020,Post_2021,Post_2022
0,Andhra Pradesh,3.616295423,4.474054057,3.343563592,4.252791207,4.795315055,3.294025474,4.477873877,4.2476934,3.811656628,5.177111116,5.350702682,5.285926087,4.597499692,5.959837915,4.521017046,4.695044341,4.694077164,4.595349005
1,Arunachal Pradesh,3.312083333,3.68125,3.704166667,3.658541667,3.962916667,4.5775,4.57375,4.03875,3.9375,4.137291667,3.645208333,3.43,4.072083333,4.179375,4.822083333,4.622991788,4.319844744,4.302599316
2,Assam,2.664889671,2.975361349,2.847760107,2.738242818,2.885702687,2.709359067,2.940823466,2.995521874,2.922772581,2.616771529,2.674554565,3.091223468,2.76597496,3.087709173,2.899018458,2.695693981,2.930452551,3.553034899
3,Bihar,3.69086568,3.226524889,3.263596718,3.392021556,3.657703544,4.339849151,3.550037321,3.815945946,3.511265185,3.471238834,4.305143105,3.412367667,3.659308682,3.847775996,3.512969759,3.754313158,3.995443386,4.219127769
4,Chandigarh,13.355,13.67285714,16.94818182,15.74181818,16.81090909,15.65545455,17.92636364,17.11636364,16.92272727,17.75363636,16.66454545,18.47636364,18.954,17.62818182,16.66090909,16.73697618,11.7394547,11.71111409
5,Chhattisgarh,3.743272192,4.140773703,3.933558742,4.399568823,4.671810578,4.369462103,4.485833808,4.134819235,4.312826083,3.876678585,4.752511538,4.941984314,4.875439107,4.787437876,4.778661571,4.698578565,4.569232281,4.469980971
6,Dadra And Nagar Haveli,4.633333333,3.34,3.316666667,4.168333333,3.045,3.7,3.865,3.386666667,3.265,4.966666667,3.305,3.321666667,3.983333333,4.233333333,3.156666667,3.55282147,3.879027978,4.131770624
7,Daman And Diu,3.371666667,2.703333333,3.51,3.345,2.875,3.363333333,2.583333333,3.913333333,6.686666667,4.361666667,2.771666667,3.86,3.291666667,3.471666667,4.538333333,3.952764156,4.0495574,4.130287915
8,Goa,4.697,4.811,4.25725,4.903,4.662,4.1835,4.90525,4.74,4.56925,3.89425,4.42225,4.5675,4.50575,4.46775,4.278223684,4.300049173,4.403996081,4.475027694
9,Gujarat,13.5196168,12.1553432,11.68131135,12.02199904,13.389654,12.24222474,12.48244695,13.92067121,11.84044961,13.25755127,13.73791513,13.42845425,11.78066566,12.02746502,11.05932036,12.34833979,11.74573547,11.35762985
10,Haryana,11.49543149,12.30219209,12.63536126,12.50456586,12.73504443,12.55083848,12.76707794,13.3486024,13.70240328,14.23701101,14.42898406,14.72702343,14.65419191,15.32542715,17.54880298,16.86200324,11.74259508,11.61661432
11,Himachal Pradesh,8.303230661,8.032959061,9.290741327,8.004073799,8.201338074,7.011836134,7.291151799,6.351371129,5.991380952,6.176198718,6.098471112,7.063174326,6.468165584,5.794641026,5.428947053,5.911858602,6.02408461,6.064834362
