,State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
0,Andhra Pradesh_Anantapur,,,,,,,,,,,,,,,,,,
1,Andhra Pradesh_Chittoor,,,,,,,,,,,,,,,,,,
2,Andhra Pradesh_East Godavari,,,,,,,,,,,,,,,,,,
3,Andhra Pradesh_Guntur,,,,,,,,,,,,,,,,,,
4,Andhra Pradesh_Krishna,,,,,,,,,,,,,,,,,,
5,Andhra Pradesh_Kurnool,,,,,,,,,,,,,,,,,,
6,Andhra Pradesh_Prakasam,,,,,,,,,,,,,,,,,,
7,Andhra Pradesh_Nellore,,,,,,,,,,,,,,,,,,
8,Andhra Pradesh_Srikakulam,,,,,,,,,,,,,,,,,,
9,Andhra Pradesh_Visakhapatnam,,,,,,,,,,,,,,,,,,
10,Andhra Pradesh_Vizianagaram,,,,,,,,,,,,,,,,,,
11,Andhra Pradesh_West Godavari,,,,,,,,,,,,,,,,,,
12,Andhra Pradesh_Y.S.R.,,,,,,,,,,,,,,,,,,
13,Arunachal Pradesh_Changlang,,,,,,,,,,,,,,,,,,
14,Arunachal Pradesh_East Siang,,,,,,,,,,,,,,,,,,
15,Arunachal Pradesh_Lohit,,,,,,,,,,,,,,,,,,
16,Arunachal Pradesh_Tirap,,,,,,,,,,,,,,,,,,
17,Assam_Baksa,,,,,,,,,,,,,,,,,,
18,Assam_Barpeta,,,,,,,,,,,,,,,,,,
19,Assam_Bongaigaon,,,,,,,,,,,,,,,,,,
20,Assam_Cachar,,,,,,,,,,,,,,,,,,
21,Assam_Chirang,,,,,,,,,,,,,,,,,,
22,Assam_Darrang,,,,,,,,,,,,,,,,,,
23,Assam_Dhemaji,,,,,,,,,,,,,,,,,,
24,Assam_Dhubri,,,,,,,,,,,,,,,,,,
25,Assam_Dibrugarh,,,,,,,,,,,,,,,,,,
26,Assam_Goalpara,,,,,,,,,,,,,,,,,,
27,Assam_Golaghat,,,,,,,,,,,,,,,,,,
28,Assam_Hailakandi,,,,,,,,,,,,,,,,,,
29,Assam_Jorhat,,,,,,,,,,,,,,,,,,
30,Assam_Kamrup,,,,,,,,,,,,,,,,,,
31,Assam_Kamrup Metropolitan,,,,,,,,,,,,,,,,,,
32,Assam_Karbi Anglong,,,,,,,,,,,,,,,,,,
33,Assam_Karimganj,,,,,,,,,,,,,,,,,,
34,Assam_Kokrajhar,,,,,,,,,,,,,,,,,,
35,Assam_Lakhimpur,,,,,,,,,,,,,,,,,,
36,Assam_Morigaon,,,,,,,,,,,,,,,,,,
37,Assam_Nagaon,,,,,,,,,,,,,,,,,,
38,Assam_Nalbari,,,,,,,,,,,,,,,,,,
39,Assam_Sivasagar,,,,,,,,,,,,,,,,,,
40,Assam_Sonitpur,,,,,,,,,,,,,,,,,,
41,Assam_Tinsukia,,,,,,,,,,,,,,,,,,
42,Assam_Udalguri,,,,,,,,,,,,,,,,,,
43,Bihar_Araria,,,,,,,,,,,,,,,,,,
44,Bihar_Arwal,,,,,,,,,,,,,,,,,,
45,Bihar_Aurangabad,,,,,,,,,,,,,,,,,,
46,Bihar_Banka,,,,,,,,,,,,,,,,,,
47,Bihar_Begusarai,,,,,,,,,,,,,,,,,,
48,Bihar_Bhagalpur,,,,,,,,,,,,,,,,,,
49,Bihar_Bhojpur,,,,,,,,,,,,,,,,,,
50,Bihar_Buxar,,,,,,,,,,,,,,,,,,
51,Bihar_Darbhanga,,,,,,,,,,,,,,,,,,
52,Bihar_Gaya,,,,,,,,,,,,,,,,,,
53,Bihar_Gopalganj,,,,,,,,,,,,,,,,,,
54,Bihar_Jamui,,,,,,,,,,,,,,,,,,
55,Bihar_Jehanabad,,,,,,,,,,,,,,,,,,
56,Bihar_Kaimur,,,,,,,,,,,,,,,,,,
57,Bihar_Katihar,,,,,,,,,,,,,,,,,,
58,Bihar_Khagaria,,,,,,,,,,,,,,,,,,
59,Bihar_Kishanganj,,,,,,,,,,,,,,,,,,
60,Bihar_Lakhisarai,,,,,,,,,,,,,,,,,,
61,Bihar_Madhepura,,,,,,,,,,,,,,,,,,
62,Bihar_Madhubani,,,,,,,,,,,,,,,,,,
63,Bihar_Munger,,,,,,,,,,,,,,,,,,
64,Bihar_Muzaffarpur,,,,,,,,,,,,,,,,,,
65,Bihar_Nalanda,,,,,,,,,,,,,,,,,,
66,Bihar_Nawada,,,,,,,,,,,,,,,,,,
67,Bihar_Pashchim Champaran,,,,,,,,,,,,,,,,,,
68,Bihar_Patna,,,,,,,,,,,,,,,,,,
69,Bihar_Purba Champaran,,,,,,,,,,,,,,,,,,
70,Bihar_Purnia,,,,,,,,,,,,,,,,,,
71,Bihar_Rohtas,,,,,,,,,,,,,,,,,,
72,Bihar_Saharsa,,,,,,,,,,,,,,,,,,
