State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
Andhra Pradesh_Anantapur,12.94681818,8.597727273,11.475,9.089545455,7.397954545,8.558181818,7.780909091,8.523863636,10.78795455,8.904390244,9.7775,9.458974359,12.61131579,11.00285714,12.71088235,10.6096087,12.32262041,10.46319599
Andhra Pradesh_Chittoor,10.99783784,6.925405405,8.979189189,7.401621622,7.902162162,8.503055556,7.778823529,7.987352941,8.129411765,8.733235294,9.147352941,6.116451613,8.715769231,8.07173913,9.406363636,8.300775223,9.337215868,8.338266005
Andhra Pradesh_East Godavari,5.357714286,4.750277778,4.904166667,4.300277778,4.800833333,5.065555556,4.285833333,5.44,4.680571429,4.456571429,4.448823529,8.298181818,8.9725,9.932413793,9.457586207,8.95086217,8.723570135,9.240752571
Andhra Pradesh_Guntur,5.145714286,3.635714286,4.230857143,3.554857143,3.416285714,3.367142857,3.517575758,4.733030303,5.2453125,4.1278125,5.605806452,5.969677419,5.960689655,6.018965517,6.287142857,5.627266081,6.176100029,5.773972549
Andhra Pradesh_Krishna,7.294,5.17,5.4368,5.3584,5.3736,5.1424,4.6488,6.5296,5.5928,5.2204,5.6628,6.236666667,6.112173913,6.801818182,5.963478261,6.465399136,6.50134034,6.417969747
Andhra Pradesh_Kurnool,8.192307692,6.307692308,7.112564103,5.346923077,5.907179487,4.824102564,5.515,6.777894737,7.873684211,7.055,7.563055556,7.3484375,8.826129032,7.037586207,7.767586207,7.471028742,7.859791588,7.54681167
Andhra Pradesh_Prakasam,6.8840625,4.317878788,5.50969697,4.856666667,5.461515152,4.111515152,4.0525,5.4278125,5.488125,5.201612903,5.701935484,6.317419355,6.479655172,6.31,6.5452,6.420418023,6.46362641,6.454778849
Andhra Pradesh_Nellore,6.460857143,4.990857143,5.584,4.749142857,4.876857143,4.743142857,4.027058824,4.682647059,4.993030303,5.983125,6.4803125,4.87483871,7.226333333,6.408518519,7.415384615,6.45297757,6.73966529,6.503455284
Andhra Pradesh_Srikakulam,7.0648,6.02,6.018,4.6324,6.4292,4.7516,4.516666667,6.5248,5.7488,4.2936,5.8768,5.5008,5.663913043,4.694090909,4.142608696,5.484681464,5.058199457,4.8769242
Andhra Pradesh_Visakhapatnam,6.68,4.457428571,4.815714286,4.533428571,5.905142857,5.210857143,3.985588235,6.008235294,5.210882353,4.311764706,4.407058824,3.838181818,4.74625,4.679,5.418965517,4.709312394,5.228321024,4.737015262
Andhra Pradesh_Vizianagaram,6.3195,5.3395,5.522,4.568,5.98,4.753,3.801,6.242,5.4675,4.712,4.4115,4.7025,5.6145,4.92,5.874117647,5.01808748,5.578619406,4.993864113
Andhra Pradesh_West Godavari,10.22592593,8.388888889,8.048888889,8.234444444,7.62037037,8.322592593,7.14,8.657307692,8.102692308,7.097307692,7.671538462,8.1412,8.5575,9.087727273,8.185789474,8.583589864,8.803564706,8.898074317
