,State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
0,Andhra Pradesh,8.125064165,5.944777783,6.748905087,5.688929076,6.053104617,5.770783318,5.336519649,6.691085337,6.730995256,6.118150016,6.871260655,6.617691994,7.901651232,7.355832906,7.748939737,7.06138439,7.085667897,6.806399287
1,Arunachal Pradesh,3.131666667,4.376458333,3.800208333,4.776666667,5.321041667,5.519166667,5.342291667,5.17375,5.3,4.90125,5.426041667,4.685,4.946458333,4.735208333,5.7875,5.605561252,5.381834853,5.353623299
2,Assam,2.957708573,3.184601447,3.200176341,3.896373588,3.78189859,4.086315562,3.762018259,4.216297014,3.76094596,3.700911484,3.697707595,4.022539853,3.854004437,3.540040629,3.6650293,4.003690679,4.471648049,4.775125331
3,Bihar,5.029483197,4.728041632,4.858215807,4.813665398,4.778539021,5.441635269,5.766349827,5.579773584,5.538849974,5.042779226,5.181771598,5.719899602,5.270181781,5.6453781,5.994683187,5.918036025,5.820720738,5.357966662
4,Chandigarh,13.67111111,13.71625,12.32875,17.01818182,16.30363636,16.58909091,16.29181818,17.84363636,18.13727273,17.52363636,18.25181818,16.96909091,19.495,19.689,18.20363636,18.01637742,18.02249836,17.74173493
5,Chhattisgarh,7.626872983,7.401109714,7.616318073,7.343687936,7.892528107,7.563220354,7.100087367,7.157733129,7.64098058,7.081984678,6.578594714,7.933167768,7.691328428,7.042682869,7.100765513,7.234323135,7.531870442,7.710912464
6,Dadra And Nagar Haveli,7.81,7.318333333,7.078333333,7.245,7.506666667,7.208333333,5.283333333,6.873333333,4.848333333,5.473333333,8.158333333,8.435,8.438333333,8.266666667,9.07,8.762239887,7.74502349,7.388156574
7,Daman And Diu,4.303333333,3.9,3.666666667,3.961666667,4.721666667,4.76,4.118333333,4.903333333,7.016666667,5.2,5.968333333,5.721666667,4.088333333,4.39,5.455,5.48385052,5.409597876,5.392488558
8,Goa,6.65525,5.92575,5.883,5.4765,6.27825,6.289,5.75775,5.976,6.317,5.7945,5.663,5.70825,4.633,5.742,5.90475,6.003040245,6.224260224,5.606513791
9,Gujarat,16.19346897,15.58513946,14.97366049,14.33331433,15.16689228,16.20120097,15.18477759,15.63699049,15.90764737,15.38959374,16.51532426,15.9111345,16.21587808,14.92635664,15.53798573,16.17371727,17.0648067,17.05926352
10,Haryana,11.91592639,12.09685081,12.59535472,13.07341997,12.69283064,13.35346766,12.9340851,13.34602427,14.25365196,14.05534997,14.7808191,14.77521725,15.49312223,15.14352172,17.83745549,17.32779616,17.00158896,16.65854106
11,Himachal Pradesh,9.175510127,9.502955721,9.2387883,9.784176255,9.451380737,9.457901422,8.575867055,8.841008403,7.487238262,7.091640415,6.736570097,7.484526723,7.711387987,7.803952922,7.119508575,8.120754537,8.83746617,8.853973268
12,Jammu And Kashmir,5.469079365,5.995035714,4.928366071,5.988855159,6.424171627,7.135359127,5.824594246,6.31803373,5.798946429,4.813856941,4.378022254,5.797971927,5.865032433,6.973182334,5.899321357,6.024896204,6.111249312,5.657966322
13,Jharkhand,7.511163363,7.186405393,7.175236407,7.084345718,7.17328641,7.806232468,8.350475048,7.563348168,7.500765345,6.532620795,5.677100929,7.240586662,7.451314284,7.006300007,7.493302405,7.300485668,7.388697459,7.543109189
14,Karnataka,10.89116653,9.389253305,10.5069558,9.467669368,9.688947487,9.039125066,8.725220629,9.968937391,12.44307131,11.87753136,11.30962595,11.8266,11.88446879,10.50108363,12.074843,12.25357376,13.02639027,12.59039796
15,Kerala,7.001337598,7.080435623,7.303899677,6.526913409,7.287573166,6.987874957,6.832882473,7.237788575,7.746277732,7.166076318,6.854495189,7.170292159,7.604254276,7.375241642,7.03249958,7.121974559,7.50278654,7.611804947
16,Madhya Pradesh,12.03213762,11.71914158,11.47410609,12.27097586,12.29853867,10.84292826,12.12206806,11.30624683,11.51349257,10.49162734,10.97912661,10.53617638,11.53044465,12.11679802,12.02695295,14.08563361,13.84306142,13.77166176
17,Maharashtra,9.357298651,8.164884544,8.017197127,8.294394815,8.210661089,8.990175075,7.244313163,7.91650202,8.169226986,7.303433399,8.260511285,9.566046655,8.73684007,8.758104644,10.17383893,9.560079604,9.184457987,8.93394871
18,Meghalaya,1.995082973,2.174264069,1.688373016,2.470777778,3.186916667,2.841473064,2.96983165,2.995782828,2.859351852,2.894844877,2.899365079,2.625777778,2.502407407,2.453981481,2.511416667,3.928508257,4.158830739,4.391292852
19,Nagaland,3.795925926,3.795925926,4.228888889,3.983333333,3.174375,3.215,6.006388889,6.006388889,4.9775,4.3625,4.553888889,4.733611111,3.377361111,3.193472222,3.405625,4.14341026,4.36312729,4.664074101
20,Nct Of Delhi,10.91688214,11.2041514,11.56430391,11.83215013,12.00795185,12.86679948,11.59126693,12.12378358,12.66009828,12.62906478,12.79531105,13.10728676,21.71194444,18.08780247,17.6438642,17.29303376,16.58625643,16.34353921
21,Odisha,5.365016695,5.339253458,5.188519016,5.177354581,5.482853155,5.568520542,4.986608069,5.201705917,5.375365135,4.742415618,4.589470252,4.730613631,5.047912759,4.649954371,4.373440174,5.525358902,5.521098494,5.423694357
22,Puducherry,6.278888889,3.668888889,4.401666667,4.020555556,4.305,4.061111111,3.857777778,3.421111111,4.397222222,4.601111111,4.226111111,4.152777778,5.154444444,5.017777778,5.516111111,5.068440351,5.008477098,5.140791534
23,Punjab,11.12015923,11.34009733,11.42726797,12.08861073,12.03669618,12.79139165,12.89644682,13.18476066,13.71768611,13.7359218,14.40560345,14.66113623,15.3760838,16.10626687,16.6902618,16.79010365,16.81390754,16.51394533
24,Rajasthan,19.3756035,19.29443174,18.55993745,19.13472262,19.72368541,20.69066862,20.03199696,19.90674858,20.23505072,20.09230893,19.95537552,21.0049501,20.4569998,20.64385244,21.35467057,19.66836615,18.843307,18.21954815
25,Tamil Nadu,8.705146135,6.506095108,7.81203321,6.386905321,7.266134965,7.980350675,6.269401367,6.760037293,7.885393435,9.121815825,7.762587929,7.254708278,9.85526709,8.335059262,8.967090213,9.048965522,8.728352007,8.632805231
26,Telangana,11.84675599,9.284524445,9.483636578,9.000326231,9.43204312,9.827438268,8.960392565,11.33884986,10.60679626,9.172161089,12.44948714,11.87786896,11.05838583,10.57075808,13.5173056,13.30057837,12.75840459,12.47220656
27,Tripura,3.342619048,4.026988095,3.268053571,4.072982143,4.234303571,4.626153846,4.260817308,3.675821429,4.091903846,4.112612179,4.088583333,3.882333333,3.510916667,3.308939394,2.475015152,4.529835758,4.690904785,4.745997431
28,Uttar Pradesh,7.226033258,7.395676608,7.841898164,8.218157868,7.864528957,8.18006993,7.863021577,7.818560577,7.485275403,7.040722231,7.119295136,7.893154236,7.733307584,7.875352672,7.760587768,7.672649867,7.909775172,7.978153631
29,Uttarakhand,17.12993287,15.12917592,15.68919431,13.94828294,12.78047692,13.94772241,10.5311786,14.46047358,13.78915987,13.33594783,15.16206522,13.4414709,13.47811806,12.43064649,16.19005184,16.32944976,16.328825,16.37234686
30,West Bengal,5.998551973,6.188997672,6.327756806,5.948040847,6.020465397,6.932020719,6.904026303,6.585209509,6.833469109,6.65814926,6.588883476,7.212353529,6.699550459,6.43211339,6.692354144,6.743679368,7.038061505,6.946563163
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
